Iteration,Hg,Hp,Ht,Hr,Sc,dist_sum
0,2.3541937500000025,-3.6458062499999984,2.2550437500000022,1.2958562500000022,-1.5166467111256985,0.0
1,2.277559131115849,-3.7224408688841524,2.176995122065031,1.2828476081158486,-1.5287535776929289,0.040882069913944954
2,2.2322384816216485,-3.767761518378353,2.131032116053303,1.2732945464216483,-1.5388583109143787,0.08246323079364005
3,2.180751494015869,-3.8192485059841323,2.080307387209306,1.2633530676158684,-1.5480487432405916,0.12341095735269705
4,2.153166180194269,-3.8468338198057324,2.051541440421048,1.2514309089942686,-1.56822049953328,0.16422432165979367
5,2.1397655126592823,-3.8602344873407195,2.038808812141567,1.2432402451592808,-1.5825380641511941,0.2044160503387358
6,2.1182422461691166,-3.881757753830885,2.0186332565262997,1.233832131369116,-1.5959216067985014,0.24461958255585822
7,2.0514388799106893,-3.948561120089312,1.9509075882012479,1.2239164361106885,-1.6058574574676618,0.28517619659065346
8,2.0201794674310443,-3.9798205325689566,1.9193651223043997,1.2134414002310436,-1.623487845997102,0.325536022777151
9,1.992356503420329,-4.007643496579672,1.8917588383299386,1.2050920830203282,-1.6367133911305398,0.3659457358716822
10,1.9786351020486375,-4.021364897951363,1.8772863295443547,1.1959622620486363,-1.6547479913604495,0.4060217996305327
11,1.946786212472541,-4.05321378752746,1.8457793097032034,1.1876644598725399,-1.665334206508807,0.4461625692010707
12,1.8968042236771416,-4.10319577632286,1.7964683487406017,1.1790469936771406,-1.6713219946993494,0.4865364671472003
13,1.859369483158201,-4.140630516841799,1.7587993366334196,1.1707708863582003,-1.6826731743294625,0.5268239668638365
14,1.826354515230416,-4.173645484769585,1.7265073536079407,1.1633431228304154,-1.6912917968282664,0.5668613767531892
15,1.800815051118252,-4.19918494888175,1.700203282540247,1.152853688618251,-1.7089843417780273,0.6067191095872978
16,1.7654558564645844,-4.234544143535418,1.6654608279725132,1.1441218352645832,-1.719794594197838,0.6471750057072172
17,1.751752034758606,-4.248247965241395,1.6511138797494274,1.1340007344586047,-1.7393082881004467,0.6875093768487309
18,1.7382215057999337,-4.261778494200067,1.636900553673533,1.124043560999933,-1.758570812335923,0.7275579505056061
19,1.7167062115970475,-4.283293788402954,1.614900074808006,1.1161020697970465,-1.7718246433116058,0.7678962434952707
20,1.6923368736514952,-4.307663126348507,1.5910199335174975,1.1066331636514943,-1.7863131071007583,0.8083508112767448
21,1.6684354257194811,-4.33156457428052,1.5670334941252375,1.0984729797194803,-1.7991786349347656,0.8483622316890623
